"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_57","GTE65","ALL","ALB","","","","","","","","","0","0","0","","","0","1.32","7.23","6.12","4.8","0.87","4.25","1.89","0.5","5.79","7.95","6.37","9.59","0","0","3.02","3.23","0","","","","","","",""
"HFAMDB_57","GTE65","ALL","ARM","","","3.65","0.67","","","3.59","3.82","3.34","4.67","3.2","2.41","6.61","3.16","3.98","4.84","3.7","3.06","3.82","3.34","5.26","5.67","4.23","5.35","7.75","","","","","2.13","","","","1.37","0.58","0.4","0.9","0.66"
"HFAMDB_57","GTE65","ALL","AUT","","1.93","1.74","2.47","1.65","1.64","1.91","1.6","1.84","1.53","1.65","1.46","1.21","0.9","1.35","0.98","0.65","0.95","1.03","0.68","0.4","0.7","0.48","0.38","0.4","0.26","0.5","1.11","0.51","0.42","0.25","0.57","0.43","0.5","0.25","0.49","0.31","0.31"
"HFAMDB_57","GTE65","ALL","AZE","","","3.66","5.14","","","2.67","2.06","1.89","3.45","1.82","4.56","4.86","3.94","2.74","6.92","6.9","4.57","3.45","2.03","1.75","2.08","2.12","2.2","1.51","1.16","","","0.5","","","","","","","","",""
"HFAMDB_57","GTE65","ALL","BLR","","","8.13","9.26","","","10.98","10.22","11.7","9.07","10.17","14.64","12.32","10.89","15.56","14.82","18.22","21.89633503","21.85","23.04","22.17","19.92","24","33.08","30.23","31.02241893","34.82277525","","33.81","12.78","13.01","36.07","12.35","","14.46","11.54","",""
"HFAMDB_57","GTE65","ALL","BEL","7.63","7.17","8.06","6.48","6.16","5.56","4.96","5.18","3.9","5.27","3.3","2.35","3.13","2.91","4.55","3.13","3.03","2.15","1.97","1.24","1.17","2.61","2.75","2.39","2.2","2.29","2.25","1.74","2.74","2.53","2.4","2.66","2.71","2.56","2.67","3.16","2.45",""
"HFAMDB_57","GTE65","ALL","BIH","","","","","","","17.27","15.93","40.14","32.72","27.69","24.41","20.71","","","","","","","","","","","","","","","","","","","","0","","","0.27","",""
"HFAMDB_57","GTE65","ALL","BGR","","4.62","3.89","4.99","3.57","5.2","4.74","4.98","6.36","5.54","5.3","5.38","4.46","4.81","4.12","6.35","4.72","5.08","4.4","4.45","3.95","4.39","3.83","4.54","3.27","2.78","2.11","2.14","3.01","1.89","2.08","1.98","1.99","1.92","2.01","2.48","",""
"HFAMDB_57","GTE65","ALL","HRV","","","","","","","5.17","2.68","3.18","4.25","2.8","2.73","2.66","3.51","3.6","2.77","1.67","1.87","3.39","2.43","3.2","2.02","2.63","1.57","3.45","3.11","3.2","2.62","1.98","2.6","2.23","2.13","2.18","3.07","1.48","1.72","2.11","1.79"
"HFAMDB_57","GTE65","ALL","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","1.99","0","0.96","0","1.11","0.64","3.27","1.67","0.79","0.77","1.61","3.69"
"HFAMDB_57","GTE65","ALL","CZE","","","","","","","","15.9","15.29","15.18","13.8","11.8","13.87","11.81","11.21","8.68","5.97","3.25","3.3","3.69","1.81","2.85","4.02","3.24","2.97","3.41","2.7","2.92","2.71","2.79","2.97","3.02","3.79","4.43","4.31","4.74","5","5.72"
"HFAMDB_57","GTE65","ALL","DNK","","","","","","","","","","","","","","","","2.51","2.57","0.8","1.63","0.61","0.52","0.41","1.66","1.04","0.66","0.65","1.33","1.36","0.77","0.89","0.87","1.03","1.41","1.44","1.82","1.51","1.51",""
"HFAMDB_57","GTE65","ALL","EST","","","6.79","7.78","","","5.99","1.02","6.83","3.67","8.27","4.69","5.64","10.13","18.91","16.71","9.15","8.43","11.83","10.38","9.79","13.14","16.73","10.27","10.63","10.63","11.11","6.37","6.32","9.68","8.03","8.59","8.88","9","4.88","10.08","7.88",""
"HFAMDB_57","GTE65","ALL","FIN","","","","","","","","","9.96","7.57","8.08","7.98","6.5","8.2","6.91","8.92","9.1","11.87","9.04","10.93","9.2","8.33","9.65","9.18","9.4","12.69","11.69","14.59","14.88","11.98","13.84","11.65","10.42","9.25","9.19","9.28","",""
"HFAMDB_57","GTE65","ALL","FRA","2.36","2.36","2.32","2.9","2.95","2.54","2.35","2.72","2.64","1.96","1.95","2.19","2.43","1.98","1.76","1.92","2.02","2.47","2.86","4.91","4.92","5.51","5.08","4.75","4.9","3.8","3.74","3.98","3.84","4.64","5.84","6.66","7.23","7.25","7.13","6.72","",""
"HFAMDB_57","GTE65","ALL","GEO","","","2.49","3.25","","","2.31","4.67","3.47","3.88","3.11","3","5.13","4.54","","1.5","6.67","2.15","2.97","1.21","1.7","2.11","1.04","","","0.48","0.31","1.51","4.03","","3.5","1.51","0","1.22","0.25","0.97","1.1",""
"HFAMDB_57","GTE65","ALL","DEU","","","","","","","","","","","","2.36","1.75","1.57","0.91","0.52","0.4","0.5","0.69","0.43","0.5","0.59","1.3","0.83","0.79","0.65","0.63","0.57","0.7","0.8","0.54","0.66","0.61","0.76","0.62","0.79","0.66",""
"HFAMDB_57","GTE65","ALL","GRC","1.2","1.43","2.01","2.07","1.43","1.86","1.14","0.8","0.47","0.96","2","0.95","1.24","1.77","1.02","1.75","1.02","1.61","0.86","0.88","1.04","1.68","2.13","1.75","1.1","0.98","1.13","0.69","0.29","0.35","0.31","0.42","0.35","0.28","","0.52","0.9",""
"HFAMDB_57","GTE65","ALL","HUN","7.34","7.85","5.96","9.04","7.42","6.51","6.4","5.26","5.43","4.57","3.65","3.56","5.33","3.12","3.79","3.45","2.83","2.88","2.09","2.58","2.45","2.02","1.68","1.43","2.78","2.18","1.68","1.5","1.78","1.61","1.92","1.8","1.12","1.3","1.72","1.11","1.65","1.46"
"HFAMDB_57","GTE65","ALL","ISL","","","0","4.98","3.79","2.84","0","0","3.64","11.71","7.48","7.74","10.86","11.56","4.04","0","0","0","0","11.07","2.77","3.16","5.39","1.96","3.9","3.91","10.03","0","0","9.54","3.38","0","6.1","3.03","10.64","4.01","0","1.48"
"HFAMDB_57","GTE65","ALL","IRL","3.19","4.47","2.24","3.51","0.79","1.36","1.69","1.57","2.55","0.73","0","1.23","0.8","0.75","1.74","1.91","2.04","2.51","2.42","0.94","2.15","1.2","2.55","1.27","1.9","0.85","2.4","1.73","4.64","5.31","5.09","5.28175202","1.96","2.63","3.23","","",""
"HFAMDB_57","GTE65","ALL","ISR","0.61","0.56","2.8","3.62","2.91","1.24","1.53","0.43","0.84","0.63","0.81","0","0.28","0","0.74","0","0.18","0","0.21","0.3","0.47","0.87","0","0.17","0.45","0.45","0.25","0","0.34","0","0.19","0.22","0.25","0","0","0","0.11",""
"HFAMDB_57","GTE65","ALL","ITA","1.54","1.83","2.39","1.84","2.17","2.37","1.97","1.77","1.91","1.67","1.36","1.59","1.93","1.46","1.31","1.5","1.51","1.29","1.13","1.07","1.28","0.99","1.08","0.88","0.86","0.99","0.93","0.8","0.74","0.7","0.69","0.79","0.74","1.16","1.13","0.92","1.09",""
"HFAMDB_57","GTE65","ALL","KAZ","","","13.75","15.31","","","17.94","14.11","12.39","14.84","14.54","11.65","10.75","14.41","15.73","19.02","18.48","24.85","29.42","30.16","44.86","52.89","65.4","55.88","53.23","21.4","20.89","25.92","21.16","21.26","15.08","19.72","16.59","17.44","16.34","16.05","12.92",""
"HFAMDB_57","GTE65","ALL","KGZ","","","12.68","17.9","","","12.73","11.34","8.82","8.07","13.69","15.71","15.84","12","19.54","22.19","19.05","23.71","20.2","28.38","16.03","13.76","18.59","15.47","16.23","22.13","18.14","22.9","19.84","22.96","18.82","15.55","11.69","21.12","13.34","14.77","13.4",""
"HFAMDB_57","GTE65","ALL","LVA","","10.14","9.26","9.02","10","6.93","8.88","4.54","4.77","7.34","4.23","4.58","4.32","8.95","9.42","8.25","8.37","7.11","9.32","9.36","9.42","16.15","10.77","6.99","14.98","10.52","17.13","13.73","12.58","6.89","17.87","8.69","2.9","7.66","6.14","8.28","5.23",""
"HFAMDB_57","GTE65","ALL","LTU","","","14.59","11.55","","","13.38","11.87","12.02","8.05","9.21","9.64","10.3","13.42","12.07","15.97","17.22","20.84","16.75","16.53","12.52","13.98","14.58","19.35","17.82","19.48","21.25","20.28","19.55","17.91","16.67","17.63","12.25","10.82","10.99","9.05","12.69","13.07"
"HFAMDB_57","GTE65","ALL","LUX","3.82","0","0","3.32","0","0","0","5.84","2.07","0","2.33","1.2","1.64","5.03","0","0","1.96","0","0","0","0","2.58","1.49","2.74","0","1.57","1.01","1.45","1.63","6.03","1.86","0","4.29","3.26","1.23","0","6.06",""
"HFAMDB_57","GTE65","ALL","MLT","0","3.95","0","0","3.03","0","4.13","3.06","0","0","0","0","0","2.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.18","0","0","0","0","0","0","0",""
"HFAMDB_57","GTE65","ALL","MNE","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.18","0","1.28","2.12","1.07","","","","","","",""
"HFAMDB_57","GTE65","ALL","NLD","0.98","0.86","0.74","0.79","0.25","0.56","0.64","0.49","0.3","0.42","0.31","0.21","0.46","0.55","0.35","0.28","0.14","0.28","0.07","0.16","0.2","0.71","0.32","0.71","0.51","0.68","0.6","0.71","0.52","0.71","0.86","0.56","0.82","0.84","0.73","0.72","0.99","0.93"
"HFAMDB_57","GTE65","ALL","NOR","","","","","","","","2.12","1.66","1.97","1.91","2.7","2.5","1.08","1.79","2.47","2.59","1.56","1.28","0.58","1.81","1.22","1.6","2.11","3.3","3.73","2.79","2.47","3.81","3.05","4.78","4.69","3.48","3.57","3.9","3.88","4.8",""
"HFAMDB_57","GTE65","ALL","POL","","","","","8.28","8.43","10.89","9.18","9.9","8.19","9.56","8.53","8.48","7.11","6.88","5.29","5.6","5.35","","","3.58","3.48","3.95","3.67","3.92","4.11","4.17","4.68","4.25","3.47","4.13","3.73","3.48","3.23","2.7","2.9","2.95",""
"HFAMDB_57","GTE65","ALL","PRT","","1.65","1.07","0.82","0.71","0.62","0.48","0.3","0.55","0.25","0.5","0.2","0.48","0.35","0.53","0.55","0.88","0.48","0.49","0.34","0.75","0.27","0.33","0.94","0.81","0","","","0.54","0.57","0.53","0.84","0.48","0.65","0.76","1.17","",""
"HFAMDB_57","GTE65","ALL","MDA","","","23.35","18.42","","","44.74","31.04","33.1","24.9","19.42","16.22","34.69","17.72","17.43","20.48","23.41","21.02","26.39","20.66","22.18","21.08","24.37","31.12","35.04","30.74","26.36","20.32","21.61","23.95","22.32","23.59","16.6","15.05","12.97","25.01","22.12","20.42"
"HFAMDB_57","GTE65","ALL","ROU","","","","","","","","","","","11.27","9.22","10.96","10.01","10.94","9.72","11.81","13.97","12.74","11.58","9.79","9.94","9.36","9.03","8.59","8.94","8.05","9.68","10.12","9.46","9.17","10.18","8.59","7.68","6.65","7.48","6","6.54"
"HFAMDB_57","GTE65","ALL","RUS","","20.69","19.38","18.65","19.18","21.14","19.17","14.79","14.43","14.16","14.06","15.02","15.83","17.6","25.92","31.56","26.3","24.47","23.78","22.98","23.72","26.74","31.06","33.86","32.95","29.63","28.9","27.62","21.77","21.64","20.97","19.9","17.13","15.79","14.7","","",""
"HFAMDB_57","GTE65","ALL","SMR","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","0","","","","","","","","","","",""
"HFAMDB_57","GTE65","ALL","SRB","","","","","","","","","","","","","","","","","","","","1.71","1.61","1.49","1.43","1.01","1.32","0.84","1.33","2.35","1.46","1.52","1.44","1.46","1.42","1.34","0.76","1.26","1.45",""
"HFAMDB_57","GTE65","ALL","SVK","","","","","","","","","","","","","","3.91","3.7","3.35","1.95","2.51","1.66","2.67","1.8","3.03","2.89","2.18","2.25","1.45","1.34","0","0","1.94","2.73","2.55","","2.23","1.26","2.47","",""
"HFAMDB_57","GTE65","ALL","SVN","","","","","","","1.58","2.96","2.83","0.49","4.44","4.11","2.73","1.89","2.18","1.76","2.23","2.52","1.55","1.88","2.16","1.4","3.52","0.65","0.9","0.84","1.79","2.29","1.15","2.68","2.41","2.96","4.21","3.67","4.35","2.42","2.1",""
