"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_840","40_44","ALL","ALB","","","","","","","","","","","","","","","","","","","","","102000","104800","107600","110400","113200","116000","120600","125200","129800","134400","139000","140800","142600","144400","146200","134800","137500","140200","143100","145000","158300","164300","169100","175900","185200","196600","198100","200600","203100","204300","188900","215112","217586","221377","222193","213312","204836","198761","196072","193197","190772","190695","191541","189115","186264","186302",""
"HFAMDB_840","40_44","ALL","AND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7910","7607","7282","7227","7302","7504",""
"HFAMDB_840","40_44","ALL","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200500","184800","148100","137364","113600","104200","108200","121600","139900","160700","188200","203200","216500","228800","242300","255700","270000","286000","302600","324100","328413","276509","275845","270473","259695","252918","","219527","185005","","","176730","176225","175699","176526","178253"
"HFAMDB_840","40_44","ALL","AUT","541800","536600","528400","522500","512100","487800","447200","398700","350900","320300","324200","346700","403400","448900","480000","488900","484500","475100","466000","458900","452900","455000","448700","440000","431200","416600","403400","394500","391800","414700","460600","509800","540335","557459","553925","518542","481241","473852","482566","487685","502144","519264","520465","515934","514950","519576","533272","551196","568495","588111","608812","628712","648888","669822","689051","704353","713163","714480","713090","707804","695259","680574","663716","640969","618886","603588","590242"
"HFAMDB_840","40_44","ALL","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368500","337100","272200","250890","207800","186900","189600","213000","242700","274400","306800","332400","352600","372200","395000","407100","409700","430200","434000","597550","637650","665700","684400","693300","692300","","677250","","","","","","","","",""
"HFAMDB_840","40_44","ALL","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700400","659500","567800","537679","476800","442400","448200","490600","550600","613000","684200","708900","721000","723000","733000","751700","773900","801900","816400","834624","847126","848260","837510","816370","786461","753128","722587","696398","676185","654570","649998","649676","650216","651566","654013",""
"HFAMDB_840","40_44","ALL","BEL","653000","646900","641900","638200","633900","620700","590600","546200","494100","458100","455700","497900","551700","610200","655600","669500","665800","661500","656500","650700","648500","650400","652700","650900","647900","633600","617400","602600","595800","593000","591600","575500","553700","546600","544200","556000","611800","629500","661200","684500","703800","711900","711600","714600","719700","727900","738524","744697","759210.5","770669","780384","788992","797684","805021","811750","816852","817733","814262","806643","795637","789754","789891","787934","782209","772454","758539",""
"HFAMDB_840","40_44","ALL","BIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227100","213600","218700","227300","242600","264500","267100","","","","","","","","","","","","","","","","","","","283887","283637","258017","","257409","",""
"HFAMDB_840","40_44","ALL","BGR","514500","513600","514000","511200","510300","520100","499700","449400","412700","397500","394200","429800","498400","568300","617400","647100","657100","662700","664000","660000","650300","639500","633500","634400","638300","646600","634500","624100","602300","576800","557600","547000","541100","541500","546100","570400","570500","592600","610800","634100","657500","663500","628100","621200","611100","596600","589400","586900","580300","574100","567939","548877","543457","538749","534401","527150","515899","506009","505699","513717","522510","524755","525897.5","529181","531334","",""
"HFAMDB_840","40_44","ALL","HRV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277100","270000","283300","284300","302400","328400","347300","347100","346800","346700","349500","311100","316500","311600","315600","302800","333403","331300","328900","324500","320780","320024","317532","314359","311502","304922","296040","281049","278393","277091","276499","277909"
