"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_24","15_29","FEMALE","BEL","2002","0.21"
"HFAMDB_24","15_29","ALL","AUT","2012","0.86"
"HFAMDB_24","15_29","FEMALE","AUT","2012","0.26"
"HFAMDB_24","15_29","MALE","AUT","2012","1.45"
"HFAMDB_24","15_29","ALL","BEL","2000","0.82"
"HFAMDB_24","15_29","MALE","BEL","2000","1.51"
"HFAMDB_24","15_29","MALE","BEL","2011","0.58"
"HFAMDB_24","15_29","FEMALE","BEL","2011","0.11"
"HFAMDB_24","15_29","FEMALE","BEL","2000","0.11"
"HFAMDB_24","15_29","ALL","BEL","2011","0.34"
"HFAMDB_24","15_29","MALE","BLR","2011","6.5"
"HFAMDB_24","15_29","FEMALE","BLR","2011","1.95"
"HFAMDB_24","15_29","ALL","BLR","2011","4.27"
"HFAMDB_24","15_29","ALL","CYP","1999","0"
"HFAMDB_24","15_29","FEMALE","CYP","1999","0"
"HFAMDB_24","15_29","FEMALE","CYP","2012","0.88"
"HFAMDB_24","15_29","MALE","CYP","1999","0"
"HFAMDB_24","15_29","ALL","CYP","2012","0.89"
"HFAMDB_24","15_29","MALE","CYP","2012","0.9"
"HFAMDB_24","15_29","ALL","DNK","2012","0.3"
"HFAMDB_24","15_29","FEMALE","DNK","2012","0.19"
"HFAMDB_24","15_29","MALE","DNK","2012","0.41"
"HFAMDB_24","15_29","ALL","FIN","2012","0.69"
"HFAMDB_24","15_29","FEMALE","FIN","2012","0.2"
"HFAMDB_24","15_29","MALE","FIN","2012","1.16"
"HFAMDB_24","15_29","MALE","FRA","2011","1.07"
"HFAMDB_24","15_29","ALL","FRA","2011","0.63"
"HFAMDB_24","15_29","FEMALE","FRA","2011","0.19"
"HFAMDB_24","15_29","ALL","GEO","2011","0.37"
"HFAMDB_24","15_29","ALL","GEO","2012","0"
"HFAMDB_24","15_29","FEMALE","GEO","2012","0"
"HFAMDB_24","15_29","MALE","GEO","2011","0.73"
"HFAMDB_24","15_29","MALE","GEO","2012","0"
"HFAMDB_24","15_29","FEMALE","GEO","2011","0"
"HFAMDB_24","15_29","MALE","GRC","2012","1.03"
"HFAMDB_24","15_29","ALL","GRC","2012","0.63"
"HFAMDB_24","15_29","FEMALE","GRC","2012","0.21"
"HFAMDB_24","15_29","FEMALE","ISR","2012","0.12"
"HFAMDB_24","15_29","ALL","ISR","2012","0.28"
"HFAMDB_24","15_29","MALE","ISR","2012","0.45"
"HFAMDB_24","15_29","ALL","ITA","2011","0.63"
"HFAMDB_24","15_29","MALE","ITA","2011","1.12"
"HFAMDB_24","15_29","FEMALE","ITA","2011","0.13"
"HFAMDB_24","15_29","MALE","KAZ","2012","2.97"
"HFAMDB_24","15_29","ALL","KAZ","2012","2.04"
"HFAMDB_24","15_29","FEMALE","KAZ","2012","1.11"
"HFAMDB_24","15_29","ALL","KGZ","2011","1.49"
"HFAMDB_24","15_29","FEMALE","KGZ","2011","0.46"
"HFAMDB_24","15_29","MALE","KGZ","2012","0.98"
"HFAMDB_24","15_29","ALL","KGZ","2012","0.61"
"HFAMDB_24","15_29","FEMALE","KGZ","2012","0.23"
"HFAMDB_24","15_29","MALE","KGZ","2011","2.51"
"HFAMDB_24","15_29","MALE","LTU","2011","2.57"
"HFAMDB_24","15_29","MALE","LTU","2003","4.97"
"HFAMDB_24","15_29","MALE","LTU","2002","7.14"
"HFAMDB_24","15_29","ALL","LTU","2002","3.86"
"HFAMDB_24","15_29","MALE","LTU","2006","6.08"
"HFAMDB_24","15_29","MALE","LTU","2008","5.03"
"HFAMDB_24","15_29","FEMALE","LTU","2011","0.67"
"HFAMDB_24","15_29","FEMALE","LTU","2005","0.6"
"HFAMDB_24","15_29","FEMALE","LTU","2012","0.35"
"HFAMDB_24","15_29","FEMALE","LTU","2010","1.24"
"HFAMDB_24","15_29","FEMALE","LTU","2008","1.18"
"HFAMDB_24","15_29","ALL","LTU","2003","2.91"
"HFAMDB_24","15_29","ALL","LTU","2009","1.86"
"HFAMDB_24","15_29","ALL","LTU","2007","2.26"
"HFAMDB_24","15_29","MALE","LTU","2009","3.68"
"HFAMDB_24","15_29","MALE","LTU","2010","5.48"
"HFAMDB_24","15_29","MALE","LTU","2004","4.36"
"HFAMDB_24","15_29","ALL","LTU","2011","1.64"
"HFAMDB_24","15_29","MALE","LTU","2005","4.92"
"HFAMDB_24","15_29","MALE","LTU","2012","0.94"
"HFAMDB_24","15_29","ALL","LTU","2001","4.69"
"HFAMDB_24","15_29","ALL","LTU","2006","3.78"
"HFAMDB_24","15_29","ALL","LTU","2008","3.13"
"HFAMDB_24","15_29","FEMALE","LTU","2004","0.3"
"HFAMDB_24","15_29","ALL","LTU","2005","2.78"
"HFAMDB_24","15_29","FEMALE","LTU","2001","2.22"
"HFAMDB_24","15_29","ALL","LTU","2004","2.35"
"HFAMDB_24","15_29","FEMALE","LTU","2006","1.45"
"HFAMDB_24","15_29","FEMALE","LTU","2007","0.32"
"HFAMDB_24","15_29","FEMALE","LTU","2003","0.84"
"HFAMDB_24","15_29","MALE","LTU","2007","4.15"
"HFAMDB_24","15_29","ALL","LTU","2012","0.65"
"HFAMDB_24","15_29","ALL","LTU","2010","3.39"
"HFAMDB_24","15_29","FEMALE","LTU","2002","0.54"
"HFAMDB_24","15_29","MALE","LTU","2001","7.13"
"HFAMDB_24","15_29","MALE","LUX","2012","0"
"HFAMDB_24","15_29","ALL","LUX","2012","0"
"HFAMDB_24","15_29","FEMALE","LUX","2012","0"
"HFAMDB_24","15_29","MALE","LVA","2005","6.11"
"HFAMDB_24","15_29","FEMALE","LVA","2000","0.79"
"HFAMDB_24","15_29","ALL","LVA","2006","4.15"
"HFAMDB_24","15_29","MALE","LVA","2006","6.53"
"HFAMDB_24","15_29","MALE","LVA","2004","4.47"
"HFAMDB_24","15_29","FEMALE","LVA","2006","1.68"
"HFAMDB_24","15_29","FEMALE","LVA","2008","0.9"
"HFAMDB_24","15_29","ALL","LVA","2007","2.72"
"HFAMDB_24","15_29","ALL","LVA","2010","0.86"
"HFAMDB_24","15_29","MALE","LVA","2007","4.18"
"HFAMDB_24","15_29","FEMALE","LVA","2007","1.19"
"HFAMDB_24","15_29","ALL","LVA","2002","3.48"
"HFAMDB_24","15_29","ALL","LVA","2008","2.92"
"HFAMDB_24","15_29","FEMALE","LVA","2001","1.27"
"HFAMDB_24","15_29","MALE","LVA","2009","2.53"
"HFAMDB_24","15_29","FEMALE","LVA","2004","0.85"
"HFAMDB_24","15_29","MALE","LVA","2001","3.64"
"HFAMDB_24","15_29","MALE","LVA","2003","2.1"
"HFAMDB_24","15_29","MALE","LVA","2010","1.28"
"HFAMDB_24","15_29","FEMALE","LVA","2010","0.43"
"HFAMDB_24","15_29","ALL","LVA","2003","1.27"
"HFAMDB_24","15_29","ALL","LVA","2004","2.68"
"HFAMDB_24","15_29","MALE","LVA","2002","5.69"
"HFAMDB_24","15_29","MALE","LVA","2008","4.85"
"HFAMDB_24","15_29","FEMALE","LVA","2002","1.21"
"HFAMDB_24","15_29","ALL","LVA","2005","3.29"
"HFAMDB_24","15_29","FEMALE","LVA","2003","0.43"
"HFAMDB_24","15_29","FEMALE","LVA","2005","0.38"
"HFAMDB_24","15_29","ALL","LVA","2009","1.29"
"HFAMDB_24","15_29","ALL","LVA","2000","1.8"
"HFAMDB_24","15_29","ALL","LVA","2001","2.47"
"HFAMDB_24","15_29","MALE","LVA","2000","2.78"
"HFAMDB_24","15_29","ALL","MNE","2007","0.71"
"HFAMDB_24","15_29","MALE","MNE","2005","1.44"
"HFAMDB_24","15_29","MALE","MNE","2007","1.38"
"HFAMDB_24","15_29","ALL","MNE","2005","0.72"
"HFAMDB_24","15_29","MALE","NLD","2012","0.51"
"HFAMDB_24","15_29","ALL","NLD","2012","0.29"
"HFAMDB_24","15_29","FEMALE","NLD","2012","0.06"
"HFAMDB_24","15_29","FEMALE","PRT","1999","0.42"
"HFAMDB_24","15_29","FEMALE","PRT","1992","0.35"
"HFAMDB_24","15_29","FEMALE","PRT","2011","0.12"
"HFAMDB_24","15_29","FEMALE","PRT","2001","0.44"
"HFAMDB_24","15_29","FEMALE","PRT","1990","0.33"
"HFAMDB_24","15_29","FEMALE","PRT","1995","0.45"
"HFAMDB_24","15_29","MALE","PRT","1998","3.15"
"HFAMDB_24","15_29","MALE","PRT","1993","2.48"
"HFAMDB_24","15_29","FEMALE","PRT","1985","0.68"
"HFAMDB_24","15_29","FEMALE","PRT","1997","0.52"
"HFAMDB_24","15_29","ALL","PRT","1995","1.73"
"HFAMDB_24","15_29","ALL","PRT","2008","0.59"
"HFAMDB_24","15_29","ALL","PRT","1993","1.47"
"HFAMDB_24","15_29","ALL","PRT","1991","2.3"
"HFAMDB_24","15_29","ALL","PRT","2001","1.77"
"HFAMDB_24","15_29","ALL","PRT","2009","0.36"
"HFAMDB_24","15_29","MALE","PRT","2001","3.07"
"HFAMDB_24","15_29","MALE","PRT","1995","2.99"
"HFAMDB_24","15_29","MALE","PRT","2002","2.33"
"HFAMDB_24","15_29","MALE","PRT","1996","2.78"
"HFAMDB_24","15_29","MALE","PRT","1990","3.18"
"HFAMDB_24","15_29","FEMALE","PRT","2008","0.21"
"HFAMDB_24","15_29","FEMALE","PRT","1996","0.35"
"HFAMDB_24","15_29","ALL","PRT","1985","2.98"
"HFAMDB_24","15_29","MALE","PRT","1986","9.27"
"HFAMDB_24","15_29","MALE","PRT","2009","0.62"
"HFAMDB_24","15_29","MALE","PRT","1985","5.26"
"HFAMDB_24","15_29","MALE","PRT","2007","0.71"
"HFAMDB_24","15_29","MALE","PRT","2008","0.95"
"HFAMDB_24","15_29","MALE","PRT","1991","4.33"
