"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_72","60_74","ALL","ALB","","","","","","","","","25.65","24.89","31.86","","","36.79","35.49","34.38","37.72","34.65","33.89","46.6","39.38","40.46","43.57","47.16","45.96","49.6","0","0.37","33.57","33.04","0","","","","","","",""
"HFAMDB_72","60_74","ALL","ARM","","","46.72","37.54","","","39.34","44.69","56.86","601.39","99.05","76.37","68.13","67.27","55.18","40.87","45.32","38.54","32.44","26.45","26.86","29.12","31.1","31.05","31.86","","","8.23","","9.75","8.67","","","15.06","12.82","13.85","24.19","18.59"
"HFAMDB_72","60_74","ALL","AUT","","71.78","64.92","67.24","69.08","64.11","59.1","53.87","51.43","57.42","53.87","51.3","49.42","45.31","42.29","47.47","41.48","41.48","37.47","38.73","38.73","38.65","42.98","36.16","38.53","37.05","38.66","36.86","34.85","34","36.83","34","33.61","32.17","31.16","31.34","29.59","30.49"
"HFAMDB_72","60_74","ALL","AZE","","","41.45","50.23","","","39.27","42.5","50.38","44.01","41.97","52.21","45.53","53.13","43.32","41.38","40.66","34.59","34.06","29.67","32.59","31.54","18.33","17.4","22.79","17.39","","","4.94","","","","","","","","",""
"HFAMDB_72","60_74","ALL","BLR","","","58.98","54.56","","","56.18","50.36","45.66","51.83","61.83","69.1","77.02","75.96","85.32","91.99","99.03","106.72665904","108.2","121.19","119.39","110.37","128.99","117.9","118.88","","","","115.79","75.85","73.19","116.28","68.16","","72.76","69.86","",""
"HFAMDB_72","60_74","ALL","BEL","78.74","74.1","73.01","70.53","64.41","52.13","47.75","51.65","50.35","45.59","47.57","45.2","46.58","44.5","42.74","44.22","41.42","41.1","42.78","35.02","37.13","39.27","40.44","41.04","40.05","35.3","41.79","35.16","37.8","38.21","39.56","38.13","36.9","43.64","37.45","37.08","41.24",""
"HFAMDB_72","60_74","ALL","BIH","","","","","","","32.61","33.89","47.41","46.17","37.26","36.25","32.15","","","","","","","","","","","","","","","","","","","","0","","","23.5","",""
"HFAMDB_72","60_74","ALL","BGR","","59.47","59.46","59.09","61.37","59.04","54.36","61.16","56.63","55.98","61.6","55.98","50.4","52.64","47.77","50.65","53.8","48.09","46.19","44.07","41.7","44.94","39.19","38.2","37.93","36.67","43.15","36.42","37.67","41.2","33.54","27.75","27.7","30.45","30.41","31.95","",""
"HFAMDB_72","60_74","ALL","HRV","","","","","","","82.97","75.47","92.96","92.73","98.82","97.66","84.34","79.92","81.58","78.66","69.34","73.18","78.13","81.67","77.66","64.18","52.67","47.42","59.63","52.49","57.85","49.63","48.81","51.34","53.01","51.8","45.71","44.85","47.74","41.44","44.19","47.13"
"HFAMDB_72","60_74","ALL","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","63.79","45.48","33.79","34.12","34.31","36.98","23.74","16.34","20.14","32.32","25.58","32.1","25.67"
"HFAMDB_72","60_74","ALL","CZE","","","","","","","","86.59","84.68","78.3","77.53","79.52","74","66.24","70.03","66.68","72.84","66.31","61.78","57.54","51.85","58.54","52.67","51.75","59.52","50.95","49.33","44.74","48.03","52.78","48.86","47.88","45.65","43.15","40","43.63","44.29","43.61"
"HFAMDB_72","60_74","ALL","DNK","","","","","","","","","","","","","","","","40.78","46.12","43.43","39.51","39.12","42.31","32.74","36.91","27.04","31.09","29.17","24.61","30.26","28.95","29.3","23.28","21.64","20.24","20.87","19.77","21.21","19.27",""
"HFAMDB_72","60_74","ALL","EST","","","92.85","100.97","","","79.27","77.25","75.21","71.29","82.62","90.8","107.95","107.43","126.28","178","142.49","117.39","113.41","124.88","121.2","121.87","141.86","136.93","131.1","117.64","106.77","107.63","99.53","104.42","71.95","77.08","77.59","77.26","65.17","68.74","67.07",""
"HFAMDB_72","60_74","ALL","FIN","","","","","","","","","76.48","80.8","82.25","78.23","78.33","81.86","75.81","76.56","78.65","73.35","78.88","77.46","74.52","77.81","75.24","75.2","74.5","79.5","83.1","86.22","82.68","77.06","74.06","74.9","66.96","60.44","63.91","62.56","",""
"HFAMDB_72","60_74","ALL","FRA","85.67","84.11","82.56","77.53","74.45","70.27","69.05","68.93","64.94","64.56","65.7","65.64","60.17","61.08","59.04","58.14","58.18","57.6","53.49","56.27","55.28","47.46","46.92","44.81","45.94","38.47","39.13","38.34","37.09","36.9","36.7","36.81","35.77","35.2","34.76","33.72","",""
"HFAMDB_72","60_74","ALL","GEO","","","47.3","57.86","","","43.98","57.03","50.84","56.12","54.44","47.98","53.05","50.38","","35.46","28.95","20.78","19.36","19.25","19.89","17.24","20.45","","","38.5","32.79","26.88","32.99","","38","23.39","41.12","36.2","35.84","48.9","42.86",""
"HFAMDB_72","60_74","ALL","DEU","","","","","","","","","","","","34.32","32.44","32.25","30.83","29.24","27.78","27.62","26.15","22.78","23.69","24.01","24.42","23.25","24.8","22.41","23.12","22.26","20.7","20.98","21.69","20.82","21.1","21.96","21.95","22.36","22.96",""
"HFAMDB_72","60_74","ALL","GRC","62.01","57.57","63.08","61.45","63.62","60.7","56.18","56.94","70.58","61.9","61.45","49.64","40.75","38.93","46.99","50.45","48.05","48.72","44.47","46.16","43.78","46.94","44.11","42.87","37.36","37.34","36.54","32.53","35.31","32.82","33.53","28.14","27.07","29.4","","23.64","27.86",""
"HFAMDB_72","60_74","ALL","HUN","105.37","104.67","104.71","105.99","112.46","106.11","112.08","109.98","110.35","106.76","111.84","114.96","113.37","116.06","114.6","107.03","101.52","92.14","85.76","84.24","89.91","76.35","78.2","76.82","84.68","79.3","66.62","62.94","57.39","63.61","60.95","59.54","54.59","50.4","47.93","46.78","45.52","52.33"
"HFAMDB_72","60_74","ALL","ISL","","","68.39","75.27","65.1","55.97","38.36","46.11","53.13","39.8","47.73","50.27","54.03","63.08","62.7","37.4","62.19","33.31","31.87","47.61","20.92","45.84","24.7","43.79","43.03","39.22","37.91","32.95","24.03","30.19","29.37","5.6","45.59","35.95","34.82","31.29","27.82","35.52"
"HFAMDB_72","60_74","ALL","IRL","77.12","63.21","66.79","54","46.63","47.04","45.83","53.07","46.92","47.44","43.6","42.88","42.42","37.94","36.77","43.08","37.03","37.4","34.75","37.53","43.5","33.4","38.61","34.35","30.55","31.12","34.3","30.8","32.64","33.73","29.97","30.48660726","27.94","28.64","26.94","","",""
"HFAMDB_72","60_74","ALL","ISR","59.05","39.39","51.49","33.8","64.27","67.03","92.66","91.98","80.01","66.14","64.13","60.65","49.53","51.91","46.4","50.77","39.8","51.09","32.12","26.62","29.74","26.02","24.43","25.61","21.62","24.24","27.51","22.93","24.93","28.91","20.64","20.52","20","19.43","18.26","15.79","19.36",""
"HFAMDB_72","60_74","ALL","ITA","60.9","65.59","60.41","56.8","55.4","49.4","52.51","52.13","49.59","47.03","45.25","43.44","44.13","43.43","40.04","41.86","38.98","37.22","37.65","35.68","33.97","31.32","30.7","29.89","27.77","25.18","24.28","24.76","24.09","22.28","22.3","20.79","20.33","20.24","19.34","19.4","20.01",""
"HFAMDB_72","60_74","ALL","KAZ","","","77.02","70.33","","","78.15","63.7","62.45","64.85","65.11","71.31","75.12","78.29","62.71","65.88","75.2","81.13","81.08","85.21","88.58","107.97","120.87","112.15","110.4","59.87","67.33","72.39","65.89","58.13","52.28","60.57","57.8","56.84","79.71","76.28","69.94",""
"HFAMDB_72","60_74","ALL","KGZ","","","80.08","74.02","","","56.77","52.2","62","55.45","76.13","73.31","93.2","71.62","85.64","98.97","100.29","84.44","81.13","94.11","81.77","68.71","68.47","90.13","93.75","104.1","93.29","97.54","91.95","86","72.97","75.96","74.85","72.58","62.65","69.6","64.96",""
"HFAMDB_72","60_74","ALL","LVA","","99.61","113.44","102.31","96.75","86.45","90.37","72.48","72.8","79.1","82.83","104.38","102.69","111.56","140.35","179.8","155.75","111.05","102.26","126.63","140.12","137.81","135.25","141.7","135.81","124.74","146.77","174.36","135.43","109.92","90.74","93.22","85.36","89.77","84.76","83.48","70.65",""
"HFAMDB_72","60_74","ALL","LTU","","","113.57","95.85","","","91.95","74.65","90.08","91.74","92.61","101.44","109.45","109","130.99","154.22","147.89","126.95","119.97","126.6","120.93","124.12","133.36","140.1","132.29","142.82","157.5","162.21","164.58","146.65","124.82","128.82","108.99","114.74","104.3","100.12","96.41","92.92"
"HFAMDB_72","60_74","ALL","LUX","60.78","116.78","68.87","64.72","68.27","53.05","68.6","54.5","45.5","54.33","53.77","44.46","37.37","57.49","28.13","33.07","30.42","40.92","34.69","21.29","26.1","34.98","47.48","36.84","52.21","35.55","39.42","51.52","24.51","45.11","39.76","28.87","29.08","42.31","53.8","39.79","31.78",""
"HFAMDB_72","60_74","ALL","MLT","42.12","39.87","55.05","65.84","48.67","42.35","37.78","27.65","27.33","16.74","29.86","47.21","37.95","37.49","33.6","21.85","13.39","18.54","20.07","32.32","24.24","29.15","14.39","21.22","17.94","27.3","20.43","15.73","22.25","30.55","27.97","18.66","18.75","22.81","21.06","10.76","16.98",""
"HFAMDB_72","60_74","ALL","MNE","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","19.88","0","24.69","21.43","21.47","","","","","","",""
"HFAMDB_72","60_74","ALL","NLD","42.06","39.13","36.78","34.48","33.56","33.26","28.59","27.87","26.75","25.23","26.57","23.96","23.86","25.71","22.22","22.68","23.75","17.36","15.9","16.73","17.64","21.35","20.94","19.24","20.17","19.28","19.3","20.98","18.52","18.26","19.96","18.65","19.89","18.5","17.2","19.21","20.25","21.22"
"HFAMDB_72","60_74","ALL","NOR","","","","","","","","48.26","46.32","43.42","52.73","49.87","42.32","44.6","40.71","37.5","38.21","39.69","38.58","40.69","35.75","35.12","32","35.63","36.31","39.62","30.6","31.52","31.93","31.27","33.01","32.21","27.8","29.84","29.7","32.52","31.91",""
"HFAMDB_72","60_74","ALL","POL","","","","","67.49","67.86","68.86","68.25","65.65","64.44","70.86","74.6","79.86","70.94","63.83","66.16","63.81","62.85","","","59.06","55.77","52.96","50.91","51.38","52.83","52.58","53.48","53.89","53.83","48.6","50.11","49.83","49.07","46.52","44.71","40.86",""
"HFAMDB_72","60_74","ALL","PRT","","87.82","88.53","87.21","81.57","74.05","76.83","75.39","64.94","63.75","64.27","57.73","58.9","58.83","53.06","47.82","50.07","42.24","44.57","41.28","34.83","33.96","39.01","46.81","46.85","36.47414345","","","25.4","23.59","22.16","24.89","21.53","17.96","22.72","25.04","",""
"HFAMDB_72","60_74","ALL","MDA","","","114.24","126.9","","","128.85","102.81","102.85","98.26","94.93","92.72","110.58","89.5","92.94","102.84","100.4","108.74","120.5","88.25","86.22","90.51","113.61","121.54","125.91","142.66","144.38","123.53","118.11","113.19","117.33","131.51","106.83","113.22","102.23","111.78","104.27","100.55"
"HFAMDB_72","60_74","ALL","ROU","","","","","","","","","","","74.03","82.58","80.4","82.17","82.26","85.43","88.04","88.91","87.5","78.93","68.39","67.33","69.47","70.38","70.42","69.03","66.89","67.52","70.2","70.37","67.59","68.05","59.16","58.02","57.26","56.96","56.41","59.55"
"HFAMDB_72","60_74","ALL","RUS","","96.9","96.18","87.71","86.9","95.67","83.62","65.45","63.02","66.38","73.21","81.73","86.13","97.69","133.45","153.48","138.01","125.78","115.39","112.11","92.35","105.16","118.13","127.59","121.57","113.22","108.4","96.71","87.48","83.39","77.95","72.41","64.34","60.74","57.52","","",""
"HFAMDB_72","60_74","ALL","SMR","","","","","","","","","","","","","","","","","85.51","0","23.52","30.08","25.56","0","","","","","20.44","","","","","","","","","","",""
"HFAMDB_72","60_74","ALL","SRB","","","","","","","","","","","","","","","","","","","","37.05","33.43","29.3","29.45","26.46","30.28","26.38","35.51","37.95","39.13","36.85","32.68","33.55","30.01","28.38","27.55","26.74","31.89",""
"HFAMDB_72","60_74","ALL","SVK","","","","","","","","","","","","","","80.03","82.92","83.46","76.38","70.97","70.44","66.64","57.72","62.56","63.08","56.55","56.02","53.59","60.52","0","0","60.88","54.42","49.55","","58.92","64.87","46.84","",""
"HFAMDB_72","60_74","ALL","SVN","","","","","","","90.69","86.71","114.1","94.28","85.59","94.4","78.06","94.94","98.55","95.8","87.01","90.44","68.64","71.78","58.26","67.8","59.45","61.52","62.47","52.23","48.97","58.33","57.13","60.17","65","54.71","47.44","47.99","42.86","32.79","35.37",""
"HFAMDB_72","60_74","ALL","ESP","","47.72","46","43.49","46.13","44.28","41.96","46.75","49.14","47.94","49.2","46.15","41.63","37.37","37.21","36.13","37.76","36.56","35.92","37.77","34.72","33.35","32.18","32.57","33.14","30.39","30.73","29.65","27.88","25.24","23.43","22.8","22.5","20.52","20.32","20.96","21.41",""
"HFAMDB_72","60_74","ALL","SWE","","","","","","","","","38.23","35.8","38.11","36.38","37.63","35.84","31.09","45.15","30.3","32.89","30.05","30.56","29.85","31.07","31.06","31.91","31.67","38.2","35.72","31.54","31.43","31.58","30.75","28.99","25.45","26.02","30.75","26.95","30.16",""
"HFAMDB_72","60_74","ALL","CHE","","","","","","","","","","","","","","","","","33.99","31.32","29.61","27.7","26.3","31.77","29.21","27.09","27.78","29.91","27.95","26.58","26.94","24.35","26.43","26.93","25.87","28.14","24.91","","",""
"HFAMDB_72","60_74","ALL","TJK","","","39.86","35.09","","","66.27","53.59","53.6","49.3","43.28","61.15","42.23","60.84","216.26","54.44","41.28","32.44","38.1","33.98","27.79","34.2","25.24","44.85","38.91","34.49","39.3035728","","","","","","","","","","",""
"HFAMDB_72","60_74","ALL","MKD","","","","","","","","","","","","","43.98","35.64","39.21","38.63","29.25","41.8","37.85","43.98","44.52","45.29","35.29","45.32","37.44","41.71","32.97","38.32","39.4","30.78","35.43","27.83","24.87","30.38","18.96","","",""
"HFAMDB_72","60_74","ALL","TUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.38","26.59","26.06","26.62","36.83","35.19","34.98",""
"HFAMDB_72","60_74","ALL","TKM","","","46.19","36.47","","","48.07","52.64","44.94","42.66","47.94","46.82","35.15","46.74","38.05","58.23","46.03","38.34","39.51","39.01","27.35","29.36","22.75","32.73","28.43","27.35","33.84","25.84","22.97","21.43","14.92","14.26","13.68","8.65","7.56","","",""
"HFAMDB_72","60_74","ALL","UKR","","","72.88","68.55","","","63.48","54.26","55.05","57.42","66.52","71.73","79.02","79.59","79.83","82.33","93.14","93.42","97.97","85.35","87.78","93.69","104.11","117.61","110.62","115.56","83.82","73.3","74.98","71.28","55.19","49.82","47.77","50.82","","42.57","39",""
"HFAMDB_72","60_74","ALL","GBR","39.61","37.42","32.68","32.68","30.82","30.71","29.95","29.65","28.12","26.87","26.86","26.66","24.68","23.45","23.44","22.6","20.94","23.19","22.27","21.67","20.9","","19.03","18.86","18.16","19.27","19.18","18.92","20.46","19.71","19.51","18.98","18.81","17.1","17.4","19.85","19.92",""
"HFAMDB_72","60_74","ALL","UZB","","","47.85","46.99","","","44.28","43.84","44.78","46.92","47.12","47.79","51.19","45.47","36.54","34.84","39.2","42.53","39.94","37.42","43.7","39.46","42.59","41.96","41.15","37.92","41.58","","","","33.56","36.13","30.17","33.17","32.4","30.19","",""
"HFAMDB_72","60_74","FEMALE","ALB","","","","","","","","","17.13","14.31","15.97","","","27.99","19.3","16.14","18.76","20.49","25.21","18.96","20.39","24","19.66","22.45","20.05","26.09","0","0","11.5","15.99","0","","","","","","",""
"HFAMDB_72","60_74","FEMALE","ARM","","","30.37","25.64","","","31.45","32.56","43.29","668.08","85","44.8","54.49","44.56","29.36","21.62","22.6","20.44","20.17","15.81","18.94","13.94","20.4","17.8","19.31","","","2.58","","4.74","5.97","","","7.43","4.93","5.64","14.32","9.68"
"HFAMDB_72","60_74","FEMALE","AUT","","46.2","36.18","42.5","45.79","41.32","41.45","36.04","33.1","39.29","32.66","30.42","32.32","27.76","24.79","24.36","22.1","24.87","19.59","21.57","16.46","20.67","22.63","18.73","19.64","19.27","18.63","20.42","18.63","18.1","18.31","16.22","17.85","17.28","15.9","18.18","15.73","17.69"
"HFAMDB_72","60_74","FEMALE","AZE","","","26.39","36.83","","","26.84","28.62","37.77","25.12","26.59","32.99","26.97","29.1","24.06","25.3","22.54","25.35","18.3","18.15","20.29","18.62","11.47","11.59","12.03","9.78","","","4","","","","","","","","",""
"HFAMDB_72","60_74","FEMALE","BLR","","","30.78","28.82","","","38.12","29.96","30.05","27.92","34.84","38.69","46.49","38.19","41.61","45.59","52.22","54.59321143","54.99","61.33","59.56","54.31","57.37","56.15","56.79","","","","56.15","32.61","28.76","51.56","28.29","","32.97","29.36","",""
"HFAMDB_72","60_74","FEMALE","BEL","61.84","58.9","54.23","53.8","50.95","39.5","36.92","43.42","39.11","33.44","35.21","33.21","33.32","30.22","31.73","33.77","29.14","26.52","30.58","29.32","25.13","27.36","30.59","29.69","31.17","26.27","31.58","23.06","26.41","27.3","29.5","27.9","26.76","31.32","25.94","24.71","33.07",""
"HFAMDB_72","60_74","FEMALE","BIH","","","","","","","17.3","19.9","32.49","26.45","24.56","13.89","15.15","","","","","","","","","","","","","","","","","","","","0","","","11.6","",""
"HFAMDB_72","60_74","FEMALE","BGR","","29.6","28.42","32.62","31.27","28.59","23.6","27.95","24.41","26.67","28.43","23.47","27.05","25.78","24.42","26.29","27.06","21.33","23.48","19.18","18.17","21.27","19.07","18.97","18.16","15.5","19.52","17.56","17.03","16.75","15.33","11.72","9.98","13.71","12.47","14.27","",""
"HFAMDB_72","60_74","FEMALE","HRV","","","","","","","55.09","44.56","59.23","54.71","72.48","63.94","56.75","51.35","53.33","50.25","45.66","48.26","48.89","50.66","44.17","32.43","27.29","30.92","34.9","31.77","33.93","30.57","23.28","28.34","30.28","27.24","28.42","21.67","26.2","19.76","24.16","23.42"
"HFAMDB_72","60_74","FEMALE","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","25.23","32.72","26.5","24.77","19.07","26.25","10.6","9.03","10.01","21.21","15.57","30.02","13.1"
"HFAMDB_72","60_74","FEMALE","CZE","","","","","","","","67.19","66.89","60.64","55.63","54.35","55.65","46.4","49.99","48.54","48.35","42.82","36.35","33.7","31.99","34.09","31.24","27.49","32.02","30.29","28.9","24.22","25.82","28.58","25","24.64","23.36","22.07","19.41","21.89","20.96","22.75"
"HFAMDB_72","60_74","FEMALE","DNK","","","","","","","","","","","","","","","","32.16","38.31","33.69","32.72","31.86","32.43","28.82","26.74","18.77","22.71","21.38","18.09","21.09","20.56","21.45","13.97","18.72","13.9","14.4","12.16","14.62","11.97",""
"HFAMDB_72","60_74","FEMALE","EST","","","40.96","58.95","","","41.72","50.13","48.47","44.15","45.44","52.64","54.03","50.15","73.6","84.62","57.02","48.72","58.25","57.82","56.86","48.19","59.17","51.63","52.06","48.31","40.57","49.09","43.03","46.36","32.23","35.35","30.8","28.18","27.45","31.65","31.46",""
"HFAMDB_72","60_74","FEMALE","FIN","","","","","","","","","41.57","35.84","48.48","41.93","37.2","43.04","39.65","38.03","35.64","37.46","36.26","38.86","29.15","36.75","39.02","34.28","35.3","41.63","38.13","42.38","40.57","36.98","37.95","38.54","34.26","27.73","32.52","32.3","",""
"HFAMDB_72","60_74","FEMALE","FRA","54.42","54.5","55.4","49.87","47.75","46.04","46.41","43.73","42.86","40.28","42.36","40.83","37.41","37.88","36.93","38.85","37.07","36.41","33.32","36.74","33.94","31.02","30.7","29.4","30.64","25.52","26.12","24.11","24.73","23.46","23.19","24.05","23.53","21.65","22.73","21.18","",""
"HFAMDB_72","60_74","FEMALE","GEO","","","28.98","36.56","","","28.82","36.55","30.38","34.86","30.22","28.72","28.14","27.67","","19.73","18.69","10.44","11.86","10.96","15.24","10.8","9.25","","","18.8","20.12","16.47","20.4","","18.02","12.41","19.6","16.26","17.6","25.28","23.35",""
"HFAMDB_72","60_74","FEMALE","DEU","","","","","","","","","","","","25.41","24.09","23.17","21.49","20.38","19.15","18.66","17.24","14.44","14.37","15.92","15.34","15.37","15.71","14.24","13.95","13.75","13.15","12.72","13.4","11.84","12.94","13.83","13.46","12.68","13.45",""
"HFAMDB_72","60_74","FEMALE","GRC","46.21","43.81","48.96","43.15","47.16","45.69","38.03","38.71","54.24","41.72","42.34","32.9","25.43","25.27","26.68","30.11","28.56","30.93","26.05","26.23","26.54","26.99","23.85","22.79","20.13","19.9","18.35","16.59","18.38","17.71","17.87","13.16","13.62","16.36","","10.67","14.71",""
"HFAMDB_72","60_74","FEMALE","HUN","70","66.76","69.36","66.02","70.95","66.67","69.06","73.62","71.39","63.08","68.97","72.44","68.54","72.19","64.69","65.33","67.4","52.91","50.12","49.12","52.28","47.05","49.07","45.19","46.94","44.88","33.57","31.01","30.08","32.34","31.64","32.21","27.36","25.06","23.95","23.41","22.96","25.03"
"HFAMDB_72","60_74","FEMALE","ISL","","","69.45","68.27","54","31.8","23.04","15.27","31.52","20.83","23.32","29.63","44.66","40.75","28.6","14.95","33.52","8.17","25.73","34.74","8.38","22.06","22.21","28.56","36.61","22.82","43.54","19.43","0","17.93","11.68","5.53","37.77","20.74","24.93","33.86","23.34","17.71"
"HFAMDB_72","60_74","FEMALE","IRL","47.19","42.59","37.43","33.24","33.78","25.19","29.02","36.03","36.1","34.69","28.21","29.9","24.33","28.37","27.74","26.16","25.4","27.35","24.03","28.71","36.57","23.23","16.37","23.26","20.3","20.13","21.32","16.87","27.4","21.38","20.22","24.83913004","20.24","15.21","18.23","","",""
"HFAMDB_72","60_74","FEMALE","ISR","57.14","34.57","43.73","25.66","49.36","58.34","79.42","72.16","56.55","53.25","57.09","46.84","42.46","33.04","33.77","40.1","31.2","36.47","21.78","18.68","20.98","15.44","16.4","18.4","14.34","16.08","18.35","16.03","16.09","17.44","15.23","11.42","10.39","14.05","12.1","8.19","12.39",""
