"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_840","40_44","ALL","AUT","2013","640969"
"HFAMDB_840","40_44","FEMALE","AUT","2013","321904"
"HFAMDB_840","40_44","MALE","AUT","2013","319065"
"HFAMDB_840","40_44","ALL","KGZ","2012","327786"
"HFAMDB_840","40_44","FEMALE","KGZ","2012","167661"
"HFAMDB_840","40_44","MALE","KGZ","2012","160125"
"HFAMDB_840","40_44","MALE","KGZ","2013","161181"
"HFAMDB_840","40_44","ALL","KGZ","2013","330007"
"HFAMDB_840","40_44","FEMALE","KGZ","2013","168826"
"HFAMDB_840","40_44","ALL","RUS","2011","9295350"
"HFAMDB_840","40_44","FEMALE","RUS","2011","4787695"
"HFAMDB_840","40_44","MALE","RUS","2011","4507655"
"HFAMDB_840","40_44","ALL","BLR","2011","649998"
"HFAMDB_840","40_44","MALE","BLR","2012","312671"
"HFAMDB_840","40_44","FEMALE","BLR","2012","337005"
"HFAMDB_840","40_44","FEMALE","BLR","2011","337118"
"HFAMDB_840","40_44","MALE","BIH","2012","126702"
"HFAMDB_840","40_44","ALL","BIH","2012","258017"
"HFAMDB_840","40_44","FEMALE","BIH","2012","131315"
"HFAMDB_840","40_44","MALE","DNK","2007","217326"
"HFAMDB_840","40_44","ALL","DNK","2007","427204"
"HFAMDB_840","40_44","MALE","DNK","2008","217418"
"HFAMDB_840","40_44","FEMALE","DNK","2007","209878"
"HFAMDB_840","40_44","FEMALE","DNK","2008","210331"
"HFAMDB_840","40_44","ALL","DNK","2008","427749"
"HFAMDB_840","40_44","MALE","DNK","2009","213412"
"HFAMDB_840","40_44","FEMALE","DNK","2009","206630"
"HFAMDB_840","40_44","ALL","DNK","2009","420042"
"HFAMDB_840","40_44","MALE","DNK","2010","207287"
"HFAMDB_840","40_44","FEMALE","DNK","2010","201783"
"HFAMDB_840","40_44","ALL","DNK","2010","409070"
"HFAMDB_840","40_44","MALE","DNK","2012","197107"
"HFAMDB_840","40_44","FEMALE","DNK","2012","193290"
"HFAMDB_840","40_44","ALL","DNK","2012","390397"
"HFAMDB_840","40_44","ALL","FIN","2012","333315"
"HFAMDB_840","40_44","MALE","FIN","2012","169435"
"HFAMDB_840","40_44","FEMALE","FIN","2012","163880"
"HFAMDB_840","40_44","ALL","FRA","2011","4366096"
"HFAMDB_840","40_44","MALE","FRA","2011","2166773"
"HFAMDB_840","40_44","FEMALE","FRA","2011","2199323"
"HFAMDB_840","40_44","ALL","GEO","2011","299000"
"HFAMDB_840","40_44","ALL","GEO","2012","302100"
"HFAMDB_840","40_44","MALE","GEO","2012","145300"
"HFAMDB_840","40_44","FEMALE","GEO","2012","156800"
"HFAMDB_840","40_44","FEMALE","GEO","2011","156100"
"HFAMDB_840","40_44","MALE","GEO","2011","142900"
"HFAMDB_840","40_44","ALL","GRC","2012","852573"
"HFAMDB_840","40_44","FEMALE","GRC","2012","428566"
"HFAMDB_840","40_44","MALE","GRC","2012","424007"
"HFAMDB_840","40_44","ALL","ITA","2011","4800067"
"HFAMDB_840","40_44","FEMALE","ITA","2011","2415431"
"HFAMDB_840","40_44","MALE","ITA","2011","2384636"
"HFAMDB_840","40_44","ALL","KAZ","2012","1091918"
"HFAMDB_840","40_44","FEMALE","KAZ","2012","563729"
"HFAMDB_840","40_44","MALE","KAZ","2012","528189"
"HFAMDB_840","40_44","MALE","KGZ","2011","158715"
"HFAMDB_840","40_44","FEMALE","KGZ","2011","165761"
"HFAMDB_840","40_44","ALL","KGZ","2011","324476"
"HFAMDB_840","40_44","FEMALE","LVA","2001","91462"
"HFAMDB_840","40_44","MALE","LVA","2000","84572"
"HFAMDB_840","40_44","FEMALE","LVA","2000","91189"
"HFAMDB_840","40_44","ALL","LVA","2000","175761"
"HFAMDB_840","40_44","MALE","LVA","2001","84962"
"HFAMDB_840","40_44","ALL","LVA","2001","176424"
"HFAMDB_840","40_44","MALE","LVA","2002","84598"
"HFAMDB_840","40_44","FEMALE","LVA","2002","91305"
"HFAMDB_840","40_44","ALL","LVA","2002","175903"
"HFAMDB_840","40_44","MALE","LVA","2003","83119"
"HFAMDB_840","40_44","FEMALE","LVA","2003","90155"
"HFAMDB_840","40_44","ALL","LVA","2003","173274"
"HFAMDB_840","40_44","MALE","LVA","2004","81116"
"HFAMDB_840","40_44","FEMALE","LVA","2004","87836"
