"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_725","GTE75","ALL","BEL","2002","466.78"
"HFAMDB_725","GTE75","ALL","BEL","2001","445.48"
"HFAMDB_725","GTE75","ALL","AUT","2012","98.43"
"HFAMDB_725","GTE75","FEMALE","AUT","2012","85.28"
"HFAMDB_725","GTE75","MALE","AUT","2012","125.18"
"HFAMDB_725","GTE75","ALL","BEL","2011","291.98"
"HFAMDB_725","GTE75","FEMALE","BEL","2011","231.98"
"HFAMDB_725","GTE75","FEMALE","BEL","2000","395.56"
"HFAMDB_725","GTE75","ALL","BEL","2000","483.63"
"HFAMDB_725","GTE75","MALE","BEL","2000","680.84"
"HFAMDB_725","GTE75","MALE","BEL","2011","406.95"
"HFAMDB_725","GTE75","FEMALE","BIH","2011","52.59"
"HFAMDB_725","GTE75","MALE","BIH","2011","54.52"
"HFAMDB_725","GTE75","ALL","BIH","2011","53.97"
"HFAMDB_725","GTE75","FEMALE","BLR","2011","3.54"
"HFAMDB_725","GTE75","MALE","BLR","2011","15.05"
"HFAMDB_725","GTE75","ALL","BLR","2011","6.7"
"HFAMDB_725","GTE75","MALE","CYP","2012","151.69"
"HFAMDB_725","GTE75","FEMALE","CYP","2011","133.94"
"HFAMDB_725","GTE75","FEMALE","CYP","2012","129.68"
"HFAMDB_725","GTE75","ALL","CYP","2011","140.44"
"HFAMDB_725","GTE75","ALL","CYP","2012","138.95"
"HFAMDB_725","GTE75","MALE","CYP","2011","149.05"
"HFAMDB_725","GTE75","MALE","DNK","2012","434.68"
"HFAMDB_725","GTE75","FEMALE","DNK","2012","295.01"
"HFAMDB_725","GTE75","ALL","DNK","2012","345.38"
"HFAMDB_725","GTE75","MALE","FIN","2012","59.27"
"HFAMDB_725","GTE75","ALL","FIN","2012","44.93"
"HFAMDB_725","GTE75","FEMALE","FIN","2012","37.67"
"HFAMDB_725","GTE75","MALE","FRA","2011","184.81"
"HFAMDB_725","GTE75","ALL","FRA","2011","139.56"
"HFAMDB_725","GTE75","FEMALE","FRA","2011","115.79"
"HFAMDB_725","GTE75","MALE","GEO","2011","74.63"
"HFAMDB_725","GTE75","FEMALE","GEO","2012","54.72"
"HFAMDB_725","GTE75","MALE","GEO","2012","75.99"
"HFAMDB_725","GTE75","ALL","GEO","2011","63.71"
"HFAMDB_725","GTE75","FEMALE","GEO","2011","56.68"
"HFAMDB_725","GTE75","ALL","GEO","2012","61.03"
"HFAMDB_725","GTE75","MALE","GRC","2012","85.17"
"HFAMDB_725","GTE75","FEMALE","GRC","2012","59.45"
"HFAMDB_725","GTE75","ALL","GRC","2012","69.89"
"HFAMDB_725","GTE75","MALE","ISR","2012","229.37"
"HFAMDB_725","GTE75","ALL","ISR","2012","192.98"
"HFAMDB_725","GTE75","FEMALE","ISR","2012","169.46"
"HFAMDB_725","GTE75","FEMALE","ITA","2011","89.59"
"HFAMDB_725","GTE75","ALL","ITA","2011","110.49"
"HFAMDB_725","GTE75","MALE","ITA","2011","150.53"
"HFAMDB_725","GTE75","MALE","KAZ","2012","84.18"
"HFAMDB_725","GTE75","FEMALE","KAZ","2012","41.43"
"HFAMDB_725","GTE75","ALL","KAZ","2012","55.22"
"HFAMDB_725","GTE75","MALE","KGZ","2011","147.91"
"HFAMDB_725","GTE75","ALL","KGZ","2012","69.19"
"HFAMDB_725","GTE75","MALE","KGZ","2012","74.25"
"HFAMDB_725","GTE75","ALL","KGZ","2011","101.13"
"HFAMDB_725","GTE75","FEMALE","KGZ","2012","65.48"
"HFAMDB_725","GTE75","FEMALE","KGZ","2011","77.79"
"HFAMDB_725","GTE75","MALE","LTU","2004","167.17"
"HFAMDB_725","GTE75","MALE","LTU","2006","133.69"
"HFAMDB_725","GTE75","FEMALE","LTU","2009","88.69"
"HFAMDB_725","GTE75","ALL","LTU","2012","62.71"
"HFAMDB_725","GTE75","MALE","LTU","2005","172.02"
"HFAMDB_725","GTE75","FEMALE","LTU","2010","44.35"
"HFAMDB_725","GTE75","FEMALE","LTU","2012","45.01"
"HFAMDB_725","GTE75","ALL","LTU","2009","118.74"
"HFAMDB_725","GTE75","MALE","LTU","2011","93.82"
"HFAMDB_725","GTE75","MALE","LTU","2002","110.37"
"HFAMDB_725","GTE75","MALE","LTU","2012","109.51"
"HFAMDB_725","GTE75","FEMALE","LTU","2003","66.61"
"HFAMDB_725","GTE75","FEMALE","LTU","2008","80.73"
"HFAMDB_725","GTE75","FEMALE","LTU","2011","50.04"
"HFAMDB_725","GTE75","ALL","LTU","2005","104.62"
"HFAMDB_725","GTE75","MALE","LTU","2010","124.56"
"HFAMDB_725","GTE75","MALE","LTU","2007","213.79"
"HFAMDB_725","GTE75","MALE","LTU","2003","135.31"
"HFAMDB_725","GTE75","FEMALE","LTU","2005","79.17"
"HFAMDB_725","GTE75","ALL","LTU","2003","86.11"
"HFAMDB_725","GTE75","ALL","LTU","2002","72.91"
"HFAMDB_725","GTE75","MALE","LTU","2001","83.7"
"HFAMDB_725","GTE75","MALE","LTU","2008","192.59"
"HFAMDB_725","GTE75","ALL","LTU","2006","92.51"
"HFAMDB_725","GTE75","ALL","LTU","2011","62.66"
"HFAMDB_725","GTE75","ALL","LTU","2001","55.15"
"HFAMDB_725","GTE75","FEMALE","LTU","2001","43.78"
"HFAMDB_725","GTE75","FEMALE","LTU","2002","58.87"
"HFAMDB_725","GTE75","ALL","LTU","2010","64.63"
"HFAMDB_725","GTE75","ALL","LTU","2008","110.89"
"HFAMDB_725","GTE75","ALL","LTU","2007","109.24"
"HFAMDB_725","GTE75","FEMALE","LTU","2006","75.04"
"HFAMDB_725","GTE75","FEMALE","LTU","2007","70.37"
"HFAMDB_725","GTE75","MALE","LTU","2009","195.41"
"HFAMDB_725","GTE75","FEMALE","LTU","2004","56.63"
"HFAMDB_725","GTE75","ALL","LTU","2004","87.31"
"HFAMDB_725","GTE75","MALE","LUX","2012","166.95"
"HFAMDB_725","GTE75","FEMALE","LUX","2012","149.3"
"HFAMDB_725","GTE75","ALL","LUX","2012","158.27"
"HFAMDB_725","GTE75","MALE","LVA","2007","93.8"
"HFAMDB_725","GTE75","MALE","LVA","2002","117.28"
"HFAMDB_725","GTE75","ALL","LVA","2003","60.91"
"HFAMDB_725","GTE75","FEMALE","LVA","2001","47.12"
"HFAMDB_725","GTE75","ALL","LVA","2007","62.97"
"HFAMDB_725","GTE75","FEMALE","LVA","2005","42.91"
"HFAMDB_725","GTE75","ALL","LVA","2001","61.4"
"HFAMDB_725","GTE75","FEMALE","LVA","2010","43.28"
"HFAMDB_725","GTE75","MALE","LVA","2001","108.69"
"HFAMDB_725","GTE75","FEMALE","LVA","2000","64.78"
"HFAMDB_725","GTE75","ALL","LVA","2005","70.85"
"HFAMDB_725","GTE75","ALL","LVA","2009","53.52"
"HFAMDB_725","GTE75","ALL","LVA","2010","59.17"
"HFAMDB_725","GTE75","ALL","LVA","2008","59.48"
"HFAMDB_725","GTE75","MALE","LVA","2006","177.99"
"HFAMDB_725","GTE75","FEMALE","LVA","2006","66.44"
"HFAMDB_725","GTE75","FEMALE","LVA","2003","38.89"
"HFAMDB_725","GTE75","ALL","LVA","2000","70.69"
"HFAMDB_725","GTE75","FEMALE","LVA","2009","41.4"
"HFAMDB_725","GTE75","FEMALE","LVA","2004","55.64"
"HFAMDB_725","GTE75","FEMALE","LVA","2007","54.29"
"HFAMDB_725","GTE75","MALE","LVA","2008","136.9"
"HFAMDB_725","GTE75","MALE","LVA","2009","96.68"
"HFAMDB_725","GTE75","MALE","LVA","2005","163.81"
"HFAMDB_725","GTE75","MALE","LVA","2003","132.77"
"HFAMDB_725","GTE75","ALL","LVA","2006","93.8"
"HFAMDB_725","GTE75","FEMALE","LVA","2008","35.67"
"HFAMDB_725","GTE75","ALL","LVA","2004","79.39"
"HFAMDB_725","GTE75","MALE","LVA","2010","105.21"
"HFAMDB_725","GTE75","ALL","LVA","2002","67.98"
"HFAMDB_725","GTE75","MALE","LVA","2004","160.86"
"HFAMDB_725","GTE75","MALE","LVA","2000","89.78"
"HFAMDB_725","GTE75","FEMALE","LVA","2002","52.79"
"HFAMDB_725","GTE75","MALE","MNE","2004","73"
"HFAMDB_725","GTE75","ALL","MNE","2000","63.99"
"HFAMDB_725","GTE75","MALE","MNE","2003","49.66"
"HFAMDB_725","GTE75","FEMALE","MNE","2000","42.63"
"HFAMDB_725","GTE75","ALL","MNE","2006","122.2"
"HFAMDB_725","GTE75","ALL","MNE","2002","52.07"
"HFAMDB_725","GTE75","MALE","MNE","2005","110.89"
"HFAMDB_725","GTE75","MALE","MNE","2000","99.22"
"HFAMDB_725","GTE75","MALE","MNE","2009","48.9"
"HFAMDB_725","GTE75","ALL","MNE","2007","55.28"
